Dates,ACMESIE LX Equity,RCMSTYL LX Equity,ALEPTEU LX Equity,AEEI2EC LX Equity,CAIXEIA LX Equity,AXWEOFC LX Equity,AXWECEI LX Equity,MEREMAI LX Equity,ETDD FP Equity,CSEMICE LX Equity,CSESDBEL LX Equity,CSIEEDE LX Equity,PAMEULF BB Equity,DIICEIC LX Equity,DWSTEFC LX Equity,STHOPMI FP Equity,FIDFEBI LX Equity,FJ2C GR Equity,GEQ50AD LX Equity,HSBEURQ LX Equity,HSBCLGI LX Equity,BGEURAX LX Equity,HENEUDI LX Equity,JPEDCAC LX Equity,FLEEUEC LX Equity,SGEURIE LX Equity,METVSRI FP Equity,MEZEI1E ID Equity,NATISRI LX Equity,MOREFAI LX Equity,INGEHDI LX Equity,PIPTFEI LX Equity,SIEEACE LX Equity,SSEIIEU LX Equity,SSGFESI LX Equity,TEMGRIA LX Equity,UBSEITL LX Equity,UECIEQD LX Equity,UGEURSA LX Equity,VANESII ID Equity
05/10/2018,28.96,11.78,1146.42,9.19,1822.26,78.92,245.36,28.79,8.823,1165.68,990.9,1131.62,202.89,288.35,222.62,224.21,22.24,10.282,114.48,41.485,18.729,107.63,48.05,138.44,24.22,1458.9614,314.91,208.1,72857.66,12.63,630.63,190.37,96.1638,12.3695,10.03,21.95,100.13,90.14,1164.97,195.7153
08/10/2018,28.63,11.65,1129.14,9.09,1803.18,77.93,241.56,28.45,8.733,1149.72,981,1118.33,199.46,286.74,219.5,221.65,22,10.193,113.11,41.046,18.361,106.2,47.31,136.66,23.96,1441.108,311.32,205.53,72124.54,12.52,624.48,188.37,96.5451,12.2246,9.87,21.62,98.67,89.59,1154.94,193.4145
09/10/2018,28.62,11.64,1117.85,9.11,1807.22,78.03,241.93,28.41,8.772,1151.3,969.6,1121.34,199.85,286.18,219.43,221.56,22.09,10.155,113.49,41.151,18.429,105.04,47,136.47,24,1445.2115,312.34,205.12,72209.65,12.5,626.87,188.78,96.222,12.2761,9.91,21.69,98.84,89.95,1155.37,193.9345
10/10/2018,27.94,11.58,1105.53,8.96,1779.12,76.66,236.85,27.84,8.629,1126.43,972.5,1099.24,194.77,281.07,214.42,217.02,21.69,9.997,111.4,40.762,17.944,104.46,46.84,133.65,23.59,1416.5134,309.73,201.48,70766.36,12.36,617.47,185.86,96.3078,12.0169,9.8,21.38,96.33,88.89,1138.33,190.1063
11/10/2018,27.53,11.24,1071.84,8.82,1744,75.44,233.2,27.45,8.475,1108.54,953.9,1080.09,191.73,280.12,212.11,213.35,21.27,9.769,109.37,40.061,17.71,103.29,45.22,131.87,23.32,1391.8698,303.85,197.11,69732.03,12.25,605.23,182.2,96.2413,11.8054,9.62,20.99,94.73,87.04,1116.05,186.5134
12/10/2018,27.53,11.27,1077.6,8.79,1739.73,75.34,232.78,27.27,8.437,1105.96,935.5,1077.66,192.11,277.23,210.71,213.44,21.2,9.806,109,39.888,17.749,101.08,45.49,130.59,23.17,1389.1147,303.28,197.02,69579.63,12.14,602.81,181.75,96.1342,11.7811,9.6,20.97,94.75,86.66,1110.73,186.0959
15/10/2018,27.59,11.15,1066.21,8.83,1742.67,75.46,233.14,27.03,8.478,1106.16,932.3,1080.7,191.99,276.75,208.73,213.28,21.31,9.816,109.47,39.981,17.695,101.16,45,130.2,23.05,1392.3244,304.54,197.01,69683.33,12.09,605.49,182.06,96.4334,11.8139,9.57,20.99,94.69,86.92,1113.14,186.8853
16/10/2018,28.07,11.3,1084.32,8.97,1768.81,76.71,237.49,27.47,8.601,1126.77,936.1,1099.49,196.12,280.76,211.56,217.33,21.73,10.022,111.17,40.546,18.088,100.72,45.45,131.99,23.29,1416.8211,308.04,199.92,70915.46,12.24,615.63,184.78,95.9787,12.0188,9.71,21.29,96.53,88.38,1136.32,190.1378
17/10/2018,27.96,11.46,1106.75,8.9,1761.79,76.46,235.93,27.41,8.566,1120.22,950.4,1093.97,195.5,276.77,211.49,216.28,21.57,10.04,110.66,40.165,18.013,102.09,45.88,132.32,23.3,1409.9878,307.06,199.79,70542.12,12.24,612.29,184.06,95.8607,11.9584,9.67,21.21,96.08,88.13,1134.1,189.1802
18/10/2018,27.72,11.42,1099.01,8.82,1752.69,76.03,234.13,27.22,8.489,1110.82,948,1084.58,193.85,276.41,210.68,214.68,21.37,9.834,109.57,40.341,17.982,102.54,45.75,131.97,23.29,1398.2605,306.05,198.11,70030.46,12.2,607.31,183.11,95.6255,11.8556,9.56,21.07,95.41,87.9,1132.7,187.5521
